time	V(vout)	V(n001)	V(n012)	V(n013)
1.042072791683462e-005	3.995959e+000	-1.000000e-001	-4.207279e-003	2.146309e+000
1.055859084673411e-005	3.995959e+000	-1.000000e-001	-5.585908e-003	2.102502e+000
1.083431670653307e-005	3.995959e+000	-1.000000e-001	-8.343167e-003	2.016373e+000
1.100000000000000e-005	3.995959e+000	-1.000000e-001	-1.000000e-002	1.965317e+000
1.103528590139019e-005	3.995959e+000	-1.000000e-001	-1.035286e-002	1.954642e+000
1.110585770417057e-005	3.995959e+000	-1.000000e-001	-1.105858e-002	1.933390e+000
1.124700130973132e-005	3.995959e+000	-1.000000e-001	-1.247001e-002	1.891362e+000
1.152928852085284e-005	3.995959e+000	-1.000000e-001	-1.529288e-002	1.809037e+000
1.200000000000000e-005	3.995959e+000	-1.000000e-001	-2.000000e-002	1.674389e+000
1.205645744222430e-005	3.995959e+000	-1.000000e-001	-2.056457e-002	1.658760e+000
1.216937232667291e-005	3.995959e+000	-1.000000e-001	-2.169372e-002	1.627717e+000
1.239520209557012e-005	3.995959e+000	-1.000000e-001	-2.395202e-002	1.566661e+000
1.284686163336454e-005	3.995959e+000	-1.000000e-001	-2.846862e-002	1.446856e+000
1.300000000000000e-005	3.995959e+000	-1.000000e-001	-3.000000e-002	1.406909e+000
1.309033190755889e-005	3.995959e+000	-1.000000e-001	-3.090332e-002	1.383916e+000
1.327099572267665e-005	3.995959e+000	-1.000000e-001	-3.270996e-002	1.338396e+000
1.363232335291219e-005	3.995959e+000	-1.000000e-001	-3.632323e-002	1.248988e+000
1.400000000000000e-005	3.995959e+000	-1.000000e-001	-4.000000e-002	1.159541e+000
1.407226552604711e-005	3.995959e+000	-1.000000e-001	-4.072266e-002	1.142433e+000
1.421679657814132e-005	3.995959e+000	-1.000000e-001	-4.216797e-002	1.108472e+000
1.450585868232975e-005	3.995959e+000	-1.000000e-001	-4.505859e-002	1.041685e+000
1.500000000000000e-005	3.995959e+000	-1.000000e-001	-5.000000e-002	9.293305e-001
1.505781242083769e-005	3.995959e+000	-1.000000e-001	-5.057812e-002	9.165449e-001
1.517343726251306e-005	3.995959e+000	-1.000000e-001	-5.173437e-002	8.911221e-001
1.540468694586380e-005	3.995959e+000	-1.000000e-001	-5.404687e-002	8.409792e-001
1.586718631256529e-005	3.995959e+000	-1.000000e-001	-5.867186e-002	7.422225e-001
1.600000000000000e-005	3.995959e+000	-1.000000e-001	-6.000000e-002	7.142392e-001
1.609249987334030e-005	3.995959e+000	-1.000000e-001	-6.092500e-002	6.951203e-001
